Machine;Timestamp;Good_Production;Machine_Speed;Rejected
Machine_01;09/24/2016 01:45:35;197187;0;3346
Machine_01;09/24/2016 01:45:51;197187;0;3346
Machine_01;09/24/2016 01:46:08;197187;0;3346
Machine_01;09/24/2016 01:46:24;197187;0;3346
Machine_01;09/24/2016 01:46:40;197187;0;3346
Machine_01;09/24/2016 01:46:56;197187;0;3346
Machine_01;09/24/2016 01:47:12;197187;0;3346
Machine_01;09/24/2016 01:47:28;197187;0;3346
Machine_01;09/24/2016 01:47:44;197187;0;3346
Machine_01;09/24/2016 01:48:00;197187;0;3346
Machine_01;09/24/2016 01:48:16;197187;0;3346
Machine_01;09/24/2016 01:48:33;197187;0;3346
Machine_01;09/24/2016 01:48:49;197187;0;3346
Machine_01;09/24/2016 01:49:05;197187;0;3346
Machine_01;09/24/2016 01:49:21;197187;0;3346
Machine_01;09/24/2016 01:49:37;197187;0;3346
Machine_01;09/24/2016 01:49:53;197187;0;3346
Machine_01;09/24/2016 01:50:09;197187;0;3346
Machine_01;09/24/2016 01:50:25;197187;0;3346
Machine_01;09/24/2016 01:50:41;197187;0;3346
Machine_01;09/24/2016 01:50:58;197187;0;3346
Machine_01;09/24/2016 01:51:14;197187;0;3346
Machine_01;09/24/2016 01:51:30;197187;0;3346
Machine_01;09/24/2016 01:51:46;197187;0;3346
Machine_01;09/24/2016 01:52:02;197187;0;3346
Machine_01;09/24/2016 01:52:19;197187;0;3346
Machine_01;09/24/2016 01:52:35;197187;0;3346
Machine_01;09/24/2016 01:52:51;197187;0;3346
Machine_01;09/24/2016 01:53:07;197187;0;3346
Machine_01;09/24/2016 01:53:23;197187;0;3346
Machine_01;09/24/2016 01:53:39;197187;0;3346
Machine_01;09/24/2016 01:53:55;197187;0;3346
Machine_01;09/24/2016 01:54:12;197187;0;3346
Machine_01;09/24/2016 01:54:28;197187;0;3346
Machine_01;09/24/2016 01:54:44;197187;0;3346
Machine_01;09/24/2016 01:55:00;197187;0;3346
Machine_01;09/24/2016 01:55:16;197187;0;3346
Machine_01;09/24/2016 01:55:33;197187;0;3346
Machine_01;09/24/2016 01:55:49;197187;0;3346
Machine_01;09/24/2016 01:56:05;197187;0;3346
Machine_01;09/24/2016 01:56:21;197187;0;3346
Machine_01;09/24/2016 01:56:37;197187;0;3346
Machine_01;09/24/2016 01:56:53;197187;0;3346
Machine_01;09/24/2016 01:57:09;197187;0;3346
Machine_01;09/24/2016 01:57:25;197187;0;3346
Machine_01;09/24/2016 01:57:42;197187;0;3346
Machine_01;09/24/2016 01:57:58;197187;0;3346
Machine_01;09/24/2016 01:58:14;197187;0;3346
Machine_01;09/24/2016 01:58:30;197187;0;3346
Machine_01;09/24/2016 01:58:46;197187;0;3346
Machine_01;09/24/2016 01:59:03;197187;0;3346
