Name;Value;Timestamp
Sensor_x1;18;09/03/2017 00:00:00
Sensor_x1;46;09/03/2017 00:00:10
Sensor_x1;9;09/03/2017 00:00:20
Sensor_x1;11;09/03/2017 00:00:30
Sensor_x1;12;09/03/2017 00:00:40
Sensor_x1;14;09/03/2017 00:00:50
Sensor_x1;35;09/03/2017 00:01:00
Sensor_x1;21;09/03/2017 00:01:10
Sensor_x1;39;09/03/2017 00:01:20
Sensor_x1;45;09/03/2017 00:01:30
Sensor_x1;43;09/03/2017 00:01:40
Sensor_x1;43;09/03/2017 00:01:50
Sensor_x1;0;09/03/2017 00:02:00
Sensor_x1;13;09/03/2017 00:02:10
Sensor_x1;3;09/03/2017 00:02:20
Sensor_x1;37;09/03/2017 00:02:30
Sensor_x1;36;09/03/2017 00:02:40
Sensor_x1;20;09/03/2017 00:02:50
Sensor_x1;2;09/03/2017 00:03:00
Sensor_x1;12;09/03/2017 00:03:10
Sensor_x1;25;09/03/2017 00:03:20
Sensor_x1;11;09/03/2017 00:03:30
Sensor_x1;26;09/03/2017 00:03:40
Sensor_x1;8;09/03/2017 00:03:50
Sensor_x1;45;09/03/2017 00:04:00
Sensor_x1;40;09/03/2017 00:04:10
Sensor_x1;38;09/03/2017 00:04:20
Sensor_x1;26;09/03/2017 00:04:30
Sensor_x1;19;09/03/2017 00:04:40
Sensor_x1;45;09/03/2017 00:04:50
Sensor_x1;23;09/03/2017 00:05:00
Sensor_x1;44;09/03/2017 00:05:10
Sensor_x1;39;09/03/2017 00:05:20
Sensor_x1;45;09/03/2017 00:05:30
Sensor_x1;8;09/03/2017 00:05:40
Sensor_x1;17;09/03/2017 00:05:50
Sensor_x1;38;09/03/2017 00:06:00
Sensor_x1;18;09/03/2017 00:06:10
Sensor_x1;48;09/03/2017 00:06:20
Sensor_x1;6;09/03/2017 00:06:30
Sensor_x1;42;09/03/2017 00:06:40
Sensor_x1;15;09/03/2017 00:06:50
Sensor_x1;8;09/03/2017 00:07:00
Sensor_x1;17;09/03/2017 00:07:10
Sensor_x1;0;09/03/2017 00:07:20
Sensor_x1;16;09/03/2017 00:07:30
Sensor_x1;40;09/03/2017 00:07:40
Sensor_x1;37;09/03/2017 00:07:50
Sensor_x1;37;09/03/2017 00:08:00
Sensor_x1;33;09/03/2017 00:08:10
Sensor_x1;34;09/03/2017 00:08:20
Sensor_x1;33;09/03/2017 00:08:30
Sensor_x1;13;09/03/2017 00:08:40
Sensor_x1;47;09/03/2017 00:08:50
Sensor_x1;41;09/03/2017 00:09:00
Sensor_x1;42;09/03/2017 00:09:10
Sensor_x1;5;09/03/2017 00:09:20
Sensor_x1;27;09/03/2017 00:09:30
Sensor_x1;32;09/03/2017 00:09:40
Sensor_x1;27;09/03/2017 00:09:50
Sensor_x1;12;09/03/2017 00:10:00
Sensor_x1;38;09/03/2017 00:10:10
Sensor_x1;27;09/03/2017 00:10:20
Sensor_x1;47;09/03/2017 00:10:30
Sensor_x1;4;09/03/2017 00:10:40
Sensor_x1;17;09/03/2017 00:10:50
Sensor_x1;3;09/03/2017 00:11:00
Sensor_x1;25;09/03/2017 00:11:10
Sensor_x1;20;09/03/2017 00:11:20
Sensor_x1;28;09/03/2017 00:11:30
Sensor_x1;42;09/03/2017 00:11:40
Sensor_x1;44;09/03/2017 00:11:50
Sensor_x1;18;09/03/2017 00:12:00
Sensor_x1;28;09/03/2017 00:12:10
Sensor_x1;4;09/03/2017 00:12:20
Sensor_x1;12;09/03/2017 00:12:30
Sensor_x1;17;09/03/2017 00:12:40
Sensor_x1;15;09/03/2017 00:12:50
Sensor_x1;24;09/03/2017 00:13:00
Sensor_x1;35;09/03/2017 00:13:10
Sensor_x1;1;09/03/2017 00:13:20
Sensor_x1;3;09/03/2017 00:13:30
Sensor_x1;44;09/03/2017 00:13:40
Sensor_x1;48;09/03/2017 00:13:50
Sensor_x1;1;09/03/2017 00:14:00
Sensor_x1;48;09/03/2017 00:14:10
Sensor_x1;33;09/03/2017 00:14:20
Sensor_x1;41;09/03/2017 00:14:30
Sensor_x1;24;09/03/2017 00:14:40
Sensor_x1;39;09/03/2017 00:14:50
Sensor_x1;39;09/03/2017 00:15:00
Sensor_x1;17;09/03/2017 00:15:10
Sensor_x1;34;09/03/2017 00:15:20
Sensor_x1;26;09/03/2017 00:15:30
Sensor_x1;31;09/03/2017 00:15:40
Sensor_x1;46;09/03/2017 00:15:50
Sensor_x1;37;09/03/2017 00:16:00
Sensor_x1;15;09/03/2017 00:16:10
Sensor_x1;16;09/03/2017 00:16:20
Sensor_x1;19;09/03/2017 00:16:30
Sensor_x1;29;09/03/2017 00:16:39
Sensor_x1;39;09/03/2017 00:16:49
Sensor_x1;44;09/03/2017 00:16:59
Sensor_x1;20;09/03/2017 00:17:09
Sensor_x1;2;09/03/2017 00:17:19
Sensor_x1;45;09/03/2017 00:17:29
Sensor_x1;0;09/03/2017 00:17:39
Sensor_x1;3;09/03/2017 00:17:49
Sensor_x1;6;09/03/2017 00:17:59
Sensor_x1;43;09/03/2017 00:18:09
Sensor_x1;37;09/03/2017 00:18:19
Sensor_x1;7;09/03/2017 00:18:29
Sensor_x1;2;09/03/2017 00:18:39
Sensor_x1;29;09/03/2017 00:18:49
Sensor_x1;2;09/03/2017 00:18:59
Sensor_x1;42;09/03/2017 00:19:09
Sensor_x1;42;09/03/2017 00:19:19
Sensor_x1;49;09/03/2017 00:19:29
Sensor_x1;41;09/03/2017 00:19:39
Sensor_x1;19;09/03/2017 00:19:49
Sensor_x1;10;09/03/2017 00:19:59
Sensor_x1;8;09/03/2017 00:20:09
Sensor_x1;47;09/03/2017 00:20:19
Sensor_x1;49;09/03/2017 00:20:29
Sensor_x1;22;09/03/2017 00:20:39
Sensor_x1;40;09/03/2017 00:20:49
Sensor_x1;41;09/03/2017 00:20:59
Sensor_x1;9;09/03/2017 00:21:09
Sensor_x1;46;09/03/2017 00:21:19
Sensor_x1;37;09/03/2017 00:21:29
Sensor_x1;36;09/03/2017 00:21:39
Sensor_x1;15;09/03/2017 00:21:49
Sensor_x1;37;09/03/2017 00:21:59
Sensor_x1;23;09/03/2017 00:22:09
Sensor_x1;16;09/03/2017 00:22:19
Sensor_x1;6;09/03/2017 00:22:29
Sensor_x1;17;09/03/2017 00:22:39
Sensor_x1;13;09/03/2017 00:22:49
Sensor_x1;17;09/03/2017 00:22:59
Sensor_x1;28;09/03/2017 00:23:09
Sensor_x1;38;09/03/2017 00:23:19
Sensor_x1;2;09/03/2017 00:23:29
Sensor_x1;6;09/03/2017 00:23:39
Sensor_x1;47;09/03/2017 00:23:49
Sensor_x1;32;09/03/2017 00:23:59
Sensor_x1;36;09/03/2017 00:24:09
Sensor_x1;20;09/03/2017 00:24:19
Sensor_x1;9;09/03/2017 00:24:29
Sensor_x1;42;09/03/2017 00:24:39
Sensor_x1;20;09/03/2017 00:24:49
Sensor_x1;26;09/03/2017 00:24:59
Sensor_x1;7;09/03/2017 00:25:09
Sensor_x1;15;09/03/2017 00:25:19
Sensor_x1;37;09/03/2017 00:25:29
Sensor_x1;12;09/03/2017 00:25:39
Sensor_x1;28;09/03/2017 00:25:49
Sensor_x1;38;09/03/2017 00:25:59
Sensor_x1;8;09/03/2017 00:26:09
Sensor_x1;26;09/03/2017 00:26:19
Sensor_x1;19;09/03/2017 00:26:29
Sensor_x1;35;09/03/2017 00:26:39
